customer_id,tenure_months,contract,internet_service,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00062,54,Month-to-month,Fiber optic,No,Mailed check,54.21,2818.85,0
C00063,16,Month-to-month,DSL,Yes,Bank transfer,36.29,545.6,0
C00064,28,Two year,No internet,No,Bank transfer,40.06,1060.19,0
C00065,59,Month-to-month,Fiber optic,Yes,Bank transfer,75.94,4212.89,0
C00066,10,Month-to-month,Fiber optic,No,Electronic check,43.01,366.27,1
C00067,12,Month-to-month,Fiber optic,Yes,Mailed check,30.43,326.75,0
C00068,15,Month-to-month,Fiber optic,Yes,Electronic check,57.95,819.24,0
C00069,42,Month-to-month,No internet,Yes,Credit card,31.91,1269.6,0
C00070,33,One year,DSL,No,Mailed check,49.64,1601.46,0
C00071,67,One year,DSL,Yes,Bank transfer,116.45,6655.87,0
C00072,45,Month-to-month,Fiber optic,No,Bank transfer,36.15,1424.95,1
C00073,43,One year,DSL,Yes,Bank transfer,39.05,1533.98,0
C00074,21,Month-to-month,DSL,No,Bank transfer,72.74,1434.08,0
C00075,49,Month-to-month,No internet,Yes,Bank transfer,59.27,2765.28,0
C00076,1,Month-to-month,Fiber optic,No,Bank transfer,51.32,46.76,1
C00077,17,Month-to-month,No internet,Yes,Bank transfer,53.65,794.73,1
C00078,53,One year,Fiber optic,Yes,Bank transfer,57.3,2594.75,0
C00079,63,Month-to-month,DSL,Yes,Mailed check,74.98,4336.68,0
C00080,9,Two year,DSL,No,Electronic check,41.61,321.95,0
C00081,28,One year,No internet,No,Credit card,38.04,1006.88,0
C00082,1,Month-to-month,Fiber optic,No,Mailed check,49.82,48.98,0
C00083,71,One year,No internet,Yes,Bank transfer,20.83,1269.63,0
C00084,5,One year,DSL,No,Mailed check,106.36,474.7,0
C00085,45,One year,Fiber optic,No,Mailed check,112.88,4825.35,0
C00086,34,Month-to-month,Fiber optic,No,Bank transfer,105.68,3570.5,1
C00087,39,One year,DSL,No,Mailed check,99.33,3393.26,1
C00088,3,Month-to-month,No internet,No,Credit card,31.99,83.9,1
C00089,34,Month-to-month,Fiber optic,No,Credit card,44.02,1413.58,0
C00090,23,Month-to-month,Fiber optic,Yes,Credit card,85.54,1734.87,0
C00091,16,Two year,Fiber optic,No,Bank transfer,59.72,952.28,0
C00092,9,Month-to-month,No internet,No,Mailed check,50.35,451.25,0
C00093,53,Two year,Fiber optic,Yes,Electronic check,37.26,1865.33,1
C00094,49,Month-to-month,No internet,Yes,Credit card,37.51,1726.73,0
C00095,56,Month-to-month,DSL,No,Bank transfer,45.18,2412.85,0
C00096,18,Two year,No internet,No,Bank transfer,38.56,645.75,0
C00097,60,Two year,DSL,No,Mailed check,116.85,6086.92,0
C00098,63,Month-to-month,Fiber optic,Yes,Mailed check,115.19,7124.01,0
C00099,16,Two year,DSL,Yes,Electronic check,115.64,1607.77,0
C00100,25,Month-to-month,Fiber optic,Yes,Electronic check,99.21,2393.56,1
C00101,5,Month-to-month,No internet,Yes,Mailed check,59.77,274.7,1
C00102,61,Month-to-month,Fiber optic,No,Electronic check,112.3,6486.18,1
C00103,14,Month-to-month,No internet,Yes,Credit card,52.88,730.78,0
C00104,37,Two year,No internet,No,Bank transfer,33.61,1179.02,0
C00105,62,One year,Fiber optic,Yes,Bank transfer,32.58,1749.72,0
C00106,4,Two year,DSL,Yes,Mailed check,113.13,409.94,0
C00107,47,One year,DSL,No,Credit card,116.36,4785.84,0
C00108,30,One year,No internet,No,Electronic check,58.46,1698.29,1
C00109,26,Month-to-month,Fiber optic,Yes,Electronic check,58.88,1493.62,1
C00110,71,Month-to-month,DSL,No,Bank transfer,45.11,2813.99,0
C00111,35,One year,DSL,Yes,Electronic check,45.25,1383.07,0
C00112,40,Two year,DSL,No,Bank transfer,35.38,1255.41,0
C00113,31,Month-to-month,Fiber optic,Yes,Mailed check,113.97,3003.64,0
C00114,25,Month-to-month,Fiber optic,Yes,Mailed check,42.58,1053.28,0
C00115,66,One year,Fiber optic,Yes,Bank transfer,107.75,6597.96,1
C00116,28,Two year,No internet,Yes,Mailed check,51.4,1230.08,0
C00117,26,Month-to-month,No internet,Yes,Mailed check,20.59,462.07,1
C00118,10,Month-to-month,Fiber optic,No,Bank transfer,107.43,941.21,1
C00119,50,One year,Fiber optic,No,Electronic check,72.22,3261.35,0
C00120,40,One year,Fiber optic,Yes,Electronic check,33.84,1255.17,0
C00121,41,One year,Fiber optic,No,Mailed check,72.05,2565.8,0
C00122,21,One year,Fiber optic,Yes,Credit card,97.77,2004.87,1
C00123,34,Month-to-month,Fiber optic,Yes,Credit card,104.98,3397.1,0
C00124,59,One year,DSL,Yes,Credit card,117.46,6449.13,0
C00125,62,Two year,DSL,Yes,Electronic check,84.71,5148.29,0
C00126,9,Month-to-month,Fiber optic,No,Bank transfer,108.72,948.98,1
C00127,37,Month-to-month,DSL,Yes,Mailed check,109.04,3885.35,0
C00128,33,Month-to-month,No internet,No,Mailed check,45.21,1344.98,0
C00129,32,Month-to-month,Fiber optic,Yes,Credit card,49.98,1526.96,0
C00130,17,One year,DSL,Yes,Mailed check,71.34,1199.17,0
C00131,39,Two year,DSL,Yes,Credit card,55.24,2074.65,0
C00132,69,Month-to-month,Fiber optic,Yes,Bank transfer,65.02,3944.45,0
C00133,4,Two year,Fiber optic,No,Credit card,39.42,152.4,0
C00134,67,One year,No internet,No,Mailed check,44.5,2688.46,0
C00135,14,One year,Fiber optic,Yes,Bank transfer,115.65,1593.98,0
C00136,27,Two year,DSL,No,Credit card,101.06,2662.66,0
C00137,8,Month-to-month,DSL,No,Mailed check,37.52,264.56,1
C00138,55,Two year,No internet,No,Credit card,23.34,1118.92,1
C00139,65,Two year,Fiber optic,Yes,Bank transfer,52.23,3184.46,0
C00140,42,One year,Fiber optic,No,Credit card,96.9,3613.55,1
C00141,48,One year,Fiber optic,No,Electronic check,85.88,3777.36,1
C00142,55,One year,DSL,No,Credit card,114.24,5358.13,0
C00143,29,Month-to-month,DSL,Yes,Bank transfer,64.96,1709.47,1
C00144,46,One year,DSL,Yes,Credit card,81.52,3500.03,0
C00145,18,Month-to-month,Fiber optic,Yes,Mailed check,58.89,976.16,1
C00146,59,Month-to-month,DSL,Yes,Electronic check,113.21,5751.38,0
C00147,66,Month-to-month,No internet,No,Credit card,49.74,2808.22,0
C00148,6,One year,Fiber optic,No,Electronic check,55.91,294.86,0
C00149,35,One year,DSL,Yes,Electronic check,83.13,2690.73,0
C00150,20,Month-to-month,DSL,Yes,Credit card,72.77,1455.2,1
C00151,19,Month-to-month,DSL,No,Mailed check,65.32,1174.07,0
C00152,3,Month-to-month,Fiber optic,No,Electronic check,102.74,285.85,1
C00153,7,One year,Fiber optic,Yes,Mailed check,103.05,659.86,1
C00154,2,Month-to-month,Fiber optic,No,Mailed check,105.99,204.59,0
C00155,9,Month-to-month,DSL,Yes,Electronic check,85.52,717.21,1
C00156,52,Month-to-month,DSL,Yes,Mailed check,56.02,2762.94,1
C00157,37,Month-to-month,Fiber optic,No,Electronic check,107.86,3933.01,0
C00158,60,Month-to-month,DSL,Yes,Bank transfer,103.64,6191.83,1
C00159,34,Two year,Fiber optic,No,Mailed check,49.18,1507.52,0
C00160,70,One year,No internet,Yes,Electronic check,50.9,3114.89,0
C00161,6,Month-to-month,Fiber optic,No,Credit card,76.04,399.84,0
C00162,64,One year,Fiber optic,Yes,Electronic check,100.95,5820.47,0
C00163,33,Two year,Fiber optic,Yes,Electronic check,95.23,2825.17,0
C00164,44,One year,Fiber optic,Yes,Mailed check,50.47,1903.64,0
C00165,6,One year,Fiber optic,No,Bank transfer,32.71,172.49,0
C00166,29,Two year,Fiber optic,Yes,Electronic check,105.68,2759.74,0
C00167,7,Month-to-month,Fiber optic,No,Mailed check,84.81,524.54,0
C00168,12,Two year,DSL,No,Mailed check,52.48,559.47,0
C00169,26,Month-to-month,Fiber optic,No,Mailed check,99.56,2484.16,1
C00170,71,Month-to-month,Fiber optic,No,Credit card,95.71,6308.01,0
C00171,39,Two year,Fiber optic,No,Electronic check,53.41,1862.95,0
C00172,55,One year,Fiber optic,Yes,Credit card,70.38,3392.52,0
C00173,13,Two year,DSL,No,Mailed check,50.84,565.2,1
C00174,8,Month-to-month,DSL,No,Bank transfer,83.38,625.17,1
C00175,51,Month-to-month,Fiber optic,Yes,Electronic check,45.52,2024.0,0
C00176,69,Two year,DSL,No,Mailed check,94.13,6326.6,0
C00177,4,Month-to-month,Fiber optic,No,Credit card,35.83,141.45,0
C00178,25,Month-to-month,Fiber optic,No,Electronic check,109.65,2468.07,1
C00179,1,One year,DSL,Yes,Credit card,39.43,36.27,0
C00180,9,Month-to-month,DSL,No,Mailed check,64.46,544.21,0
C00181,34,Month-to-month,Fiber optic,No,Mailed check,89.44,2949.09,1
C00182,57,One year,Fiber optic,Yes,Electronic check,83.7,4470.1,0
C00183,7,Month-to-month,No internet,Yes,Mailed check,43.83,281.02,0
C00184,16,Month-to-month,Fiber optic,No,Electronic check,41.83,656.94,1
C00185,5,Two year,Fiber optic,Yes,Bank transfer,45.74,201.9,0
C00186,29,One year,DSL,Yes,Bank transfer,97.29,2698.86,0
C00187,8,Month-to-month,DSL,Yes,Credit card,62.25,458.76,0
C00188,70,Month-to-month,Fiber optic,Yes,Electronic check,34.85,2394.61,1
C00189,59,Month-to-month,No internet,Yes,Bank transfer,33.98,1778.77,0
C00190,50,Two year,Fiber optic,Yes,Bank transfer,101.31,4788.78,0
C00191,2,Two year,Fiber optic,No,Electronic check,57.17,98.92,1
C00192,49,One year,No internet,No,Credit card,47.31,2228.65,0
C00193,65,Two year,Fiber optic,No,Electronic check,43.9,2594.05,0
C00194,23,One year,Fiber optic,No,Credit card,47.0,1002.84,1
C00195,13,Month-to-month,Fiber optic,Yes,Credit card,30.53,373.36,1
C00196,62,Two year,No internet,No,Mailed check,36.77,2178.01,0
C00197,6,Month-to-month,Fiber optic,Yes,Bank transfer,75.67,413.71,1
C00198,59,Month-to-month,DSL,Yes,Credit card,96.76,5149.14,0
C00199,56,Month-to-month,Fiber optic,Yes,Electronic check,104.33,5570.08,0
C00200,63,One year,DSL,Yes,Bank transfer,109.87,6848.56,0
C00201,3,One year,DSL,Yes,Credit card,101.66,298.04,0
C00202,68,One year,Fiber optic,No,Electronic check,94.26,6260.09,0
C00203,27,One year,Fiber optic,No,Bank transfer,40.09,923.76,0
C00204,58,Month-to-month,Fiber optic,No,Credit card,91.68,4825.29,0
C00205,36,Two year,Fiber optic,Yes,Bank transfer,36.63,1259.7,0
C00206,45,Two year,No internet,Yes,Mailed check,33.75,1293.63,0
C00207,35,One year,No internet,No,Mailed check,36.46,1142.45,0
C00208,37,Two year,Fiber optic,No,Bank transfer,38.93,1227.95,0
C00209,50,Two year,Fiber optic,Yes,Credit card,104.31,4792.66,0
C00210,34,Month-to-month,Fiber optic,No,Credit card,102.24,3025.29,0
C00211,26,Month-to-month,DSL,No,Mailed check,58.31,1411.07,0
C00212,45,Month-to-month,Fiber optic,No,Mailed check,33.25,1362.41,1
C00213,40,Month-to-month,Fiber optic,Yes,Bank transfer,33.43,1332.53,1
C00214,34,One year,Fiber optic,Yes,Credit card,84.98,2691.05,0
C00215,17,One year,No internet,Yes,Electronic check,21.98,331.6,0
C00216,62,Month-to-month,Fiber optic,Yes,Electronic check,91.83,4921.97,1
C00217,41,Month-to-month,DSL,Yes,Bank transfer,45.17,1765.49,0
C00218,13,Month-to-month,No internet,Yes,Mailed check,57.71,647.04,1
C00219,6,One year,Fiber optic,No,Electronic check,32.61,180.4,1
C00220,39,Month-to-month,Fiber optic,Yes,Mailed check,39.32,1496.66,0
C00221,25,Month-to-month,No internet,Yes,Credit card,31.83,791.82,1
C00222,61,One year,No internet,No,Mailed check,45.91,2754.87,0
C00223,26,Month-to-month,Fiber optic,Yes,Bank transfer,94.21,2115.29,1
C00224,23,One year,Fiber optic,Yes,Mailed check,78.33,1591.22,0
C00225,25,One year,DSL,Yes,Mailed check,51.14,1162.83,0
C00226,61,Month-to-month,No internet,No,Credit card,31.41,1785.7,0
C00227,33,One year,No internet,No,Electronic check,28.95,882.28,0
C00228,52,Two year,Fiber optic,No,Mailed check,98.59,4882.39,0
C00229,66,Two year,Fiber optic,No,Bank transfer,66.45,4352.08,0
C00230,25,Two year,No internet,No,Credit card,51.97,1225.67,0
C00231,20,One year,Fiber optic,Yes,Electronic check,45.58,830.98,0
C00232,52,One year,DSL,No,Electronic check,93.8,4833.66,0
C00233,23,Month-to-month,DSL,No,Bank transfer,98.03,1996.97,1
C00234,28,One year,Fiber optic,No,Bank transfer,118.21,3033.35,0
C00235,67,Month-to-month,Fiber optic,No,Bank transfer,66.98,4007.62,0
C00236,1,Month-to-month,Fiber optic,No,Mailed check,54.4,50.54,1
C00237,48,Month-to-month,Fiber optic,Yes,Credit card,102.26,4468.63,0
C00238,12,Month-to-month,No internet,No,Bank transfer,39.78,456.32,1
C00239,67,One year,No internet,No,Mailed check,58.55,3394.29,0
C00240,60,Two year,DSL,Yes,Bank transfer,40.17,2156.41,0
C00241,61,Two year,DSL,No,Credit card,45.44,2734.42,0
C00242,5,Two year,Fiber optic,Yes,Credit card,66.21,320.49,1
C00243,27,One year,DSL,Yes,Mailed check,79.18,1968.22,0
C00244,19,Month-to-month,DSL,No,Bank transfer,48.99,798.44,1
C00245,72,Month-to-month,DSL,Yes,Mailed check,43.93,3099.12,0
C00246,35,One year,DSL,Yes,Mailed check,37.87,1173.72,0
C00247,38,One year,DSL,No,Electronic check,56.41,1980.91,0
C00248,26,Two year,Fiber optic,Yes,Electronic check,52.38,1250.07,0
C00249,26,Month-to-month,DSL,Yes,Electronic check,88.7,1982.23,1
C00250,70,Month-to-month,No internet,No,Credit card,50.98,3326.76,0
C00251,54,Month-to-month,No internet,No,Credit card,22.42,1133.14,0
C00252,12,One year,DSL,Yes,Electronic check,105.63,1180.78,0
C00253,10,Two year,Fiber optic,No,Bank transfer,67.66,610.26,1
C00254,15,Two year,Fiber optic,No,Electronic check,30.89,449.76,0
C00255,49,One year,DSL,No,Mailed check,97.79,4396.72,0
C00256,6,Two year,Fiber optic,Yes,Mailed check,118.97,698.88,0
C00257,3,Month-to-month,DSL,Yes,Mailed check,37.13,105.6,1
C00258,13,One year,DSL,No,Mailed check,64.68,759.45,0
C00259,26,Month-to-month,No internet,No,Mailed check,47.0,1183.51,0
C00260,56,Month-to-month,DSL,Yes,Mailed check,42.35,2327.68,0
C00261,13,Month-to-month,Fiber optic,Yes,Mailed check,50.11,564.89,1
C00262,59,Month-to-month,Fiber optic,Yes,Electronic check,45.41,2453.76,1
C00263,1,Month-to-month,No internet,No,Electronic check,51.91,48.89,0
C00264,52,Month-to-month,Fiber optic,No,Mailed check,38.45,1719.79,1
C00265,59,Two year,No internet,Yes,Credit card,36.63,1894.75,0
C00266,61,Two year,No internet,No,Mailed check,47.44,2729.03,0
C00267,45,One year,No internet,Yes,Bank transfer,30.36,1275.75,0
C00268,28,Month-to-month,DSL,No,Electronic check,34.44,948.27,0
C00269,10,Two year,DSL,Yes,Bank transfer,44.38,418.81,0
C00270,19,Month-to-month,DSL,Yes,Credit card,77.04,1288.18,0
C00271,31,Month-to-month,DSL,Yes,Bank transfer,46.38,1363.87,0
C00272,54,Two year,Fiber optic,Yes,Credit card,44.34,2082.77,0
C00273,25,Month-to-month,Fiber optic,Yes,Credit card,103.04,2482.74,0
C00274,29,Month-to-month,Fiber optic,No,Credit card,83.24,2246.73,0
C00275,1,Two year,DSL,Yes,Electronic check,47.34,41.46,0
C00276,49,One year,No internet,No,Electronic check,57.15,2603.41,0
C00277,66,Month-to-month,No internet,No,Electronic check,23.71,1411.13,0
C00278,67,One year,Fiber optic,No,Bank transfer,94.49,5444.95,0
C00279,52,Month-to-month,No internet,No,Electronic check,28.7,1277.93,0
C00280,70,One year,Fiber optic,No,Mailed check,100.62,6982.26,0
C00281,48,Month-to-month,No internet,No,Electronic check,46.08,1885.94,0
C00282,52,Month-to-month,Fiber optic,No,Bank transfer,99.31,4507.03,0
C00283,3,Two year,No internet,No,Mailed check,48.6,144.14,0
C00284,34,One year,Fiber optic,Yes,Bank transfer,105.38,3549.58,0
C00285,57,One year,DSL,No,Mailed check,108.85,5699.17,1
C00286,15,Month-to-month,DSL,Yes,Credit card,35.41,475.44,0
C00287,67,One year,Fiber optic,Yes,Mailed check,52.79,3193.35,0
C00288,44,Month-to-month,DSL,Yes,Credit card,86.83,3706.66,0
C00289,67,Month-to-month,Fiber optic,No,Credit card,118.95,7603.13,0
C00290,22,Two year,Fiber optic,No,Electronic check,96.28,2036.84,0
C00291,53,Month-to-month,Fiber optic,No,Bank transfer,56.28,2638.25,1
C00292,48,Month-to-month,Fiber optic,No,Credit card,52.38,2479.42,0
C00293,63,Month-to-month,DSL,No,Credit card,63.6,3547.77,0
C00294,1,One year,DSL,Yes,Mailed check,109.88,103.3,0
C00295,15,Two year,Fiber optic,No,Bank transfer,105.25,1570.82,0
C00296,7,Two year,No internet,Yes,Credit card,46.79,321.25,0
C00297,55,Month-to-month,Fiber optic,Yes,Electronic check,68.18,3541.28,1
C00298,55,Two year,No internet,No,Bank transfer,26.24,1431.12,0
C00299,14,One year,Fiber optic,Yes,Bank transfer,94.95,1162.22,0
C00300,53,One year,Fiber optic,Yes,Credit card,103.54,5168.28,0
C00301,15,Month-to-month,No internet,Yes,Bank transfer,43.92,617.26,0
C00302,3,One year,No internet,Yes,Credit card,22.05,61.78,0
C00303,57,One year,Fiber optic,No,Mailed check,59.92,2991.18,0
C00304,21,Month-to-month,Fiber optic,Yes,Bank transfer,30.18,620.43,0
C00305,16,Month-to-month,DSL,No,Mailed check,78.57,1094.17,1
C00306,37,One year,DSL,No,Electronic check,74.12,2717.69,0
C00307,21,Month-to-month,No internet,No,Electronic check,32.02,599.86,1
C00308,38,Month-to-month,Fiber optic,Yes,Electronic check,78.07,2865.49,1
C00309,5,Two year,No internet,Yes,Bank transfer,31.64,154.95,0
C00310,16,Month-to-month,Fiber optic,No,Mailed check,94.4,1477.01,0
C00311,62,Month-to-month,Fiber optic,Yes,Credit card,77.25,4347.06,0
C00312,38,One year,Fiber optic,Yes,Bank transfer,104.47,3585.28,0
C00313,12,Month-to-month,Fiber optic,No,Mailed check,76.1,780.4,0
C00314,5,One year,Fiber optic,Yes,Bank transfer,76.66,355.16,0
C00315,43,Month-to-month,DSL,No,Bank transfer,87.15,3362.52,0
C00316,20,One year,Fiber optic,No,Credit card,38.41,669.29,1
C00317,48,One year,Fiber optic,No,Credit card,93.38,4051.75,0
C00318,28,Month-to-month,DSL,Yes,Credit card,97.35,2409.8,1
C00319,64,Two year,Fiber optic,No,Electronic check,89.1,5069.83,0
C00320,27,Two year,Fiber optic,No,Electronic check,73.23,1745.47,0
C00321,5,Month-to-month,Fiber optic,No,Credit card,50.31,244.6,1
C00322,33,One year,Fiber optic,No,Electronic check,101.57,3195.65,1
C00323,68,Two year,DSL,Yes,Electronic check,100.5,6029.66,0
C00324,51,Month-to-month,No internet,Yes,Bank transfer,42.75,2095.3,0
C00325,14,Month-to-month,DSL,Yes,Bank transfer,95.57,1267.98,0
C00326,55,One year,DSL,Yes,Electronic check,119.2,6231.67,1
C00327,40,Month-to-month,Fiber optic,No,Electronic check,41.23,1428.51,1
C00328,8,Month-to-month,No internet,Yes,Bank transfer,30.47,218.98,0
C00329,7,Month-to-month,No internet,No,Bank transfer,38.82,235.52,1
C00330,35,One year,Fiber optic,No,Mailed check,74.96,2506.69,1
C00331,58,One year,DSL,Yes,Mailed check,79.04,4249.7,0
C00332,14,Month-to-month,DSL,No,Bank transfer,88.9,1173.87,0
C00333,66,One year,DSL,No,Mailed check,115.98,7072.17,0
C00334,26,One year,Fiber optic,Yes,Credit card,34.97,809.55,0
C00335,67,Month-to-month,Fiber optic,Yes,Mailed check,87.01,5256.19,0
C00336,19,Two year,DSL,No,Mailed check,45.11,768.77,1
C00337,35,Month-to-month,Fiber optic,No,Bank transfer,71.13,2385.54,0
C00338,28,Month-to-month,No internet,Yes,Electronic check,23.72,638.48,0
C00339,7,Month-to-month,Fiber optic,No,Bank transfer,94.57,606.92,1
C00340,14,Month-to-month,Fiber optic,No,Credit card,100.58,1245.65,1
C00341,33,Two year,DSL,No,Credit card,93.43,2951.0,0
C00342,41,One year,Fiber optic,No,Credit card,104.66,3789.89,0
C00343,5,One year,Fiber optic,No,Mailed check,69.89,322.25,0
C00344,26,Month-to-month,DSL,No,Electronic check,104.96,2533.37,0
C00345,18,Month-to-month,No internet,No,Mailed check,56.17,970.18,1
C00346,68,Two year,DSL,No,Credit card,91.86,5797.51,1
C00347,67,Two year,Fiber optic,Yes,Credit card,69.49,4383.37,0
C00348,16,Month-to-month,Fiber optic,No,Credit card,40.12,563.65,0
C00349,2,Two year,Fiber optic,No,Mailed check,32.48,56.94,1
C00350,55,Month-to-month,DSL,No,Electronic check,83.72,4534.55,1
C00351,26,Month-to-month,DSL,No,Mailed check,94.18,2375.19,0
C00352,23,Month-to-month,No internet,Yes,Bank transfer,49.57,1040.85,0
C00353,39,Two year,Fiber optic,No,Credit card,110.56,4007.57,0
C00354,12,Month-to-month,DSL,Yes,Mailed check,89.48,948.85,0
C00355,36,Two year,Fiber optic,Yes,Credit card,62.37,2146.98,0
C00356,30,Month-to-month,Fiber optic,No,Bank transfer,104.67,2697.27,1
C00357,43,Two year,DSL,No,Bank transfer,52.04,2006.85,0
C00358,37,Month-to-month,DSL,Yes,Credit card,39.1,1327.9,0
C00359,62,Two year,No internet,Yes,Bank transfer,47.03,2785.56,0
C00360,22,Month-to-month,Fiber optic,No,Bank transfer,49.85,979.2,0
C00361,9,One year,DSL,Yes,Bank transfer,102.53,787.12,0
C00362,69,Two year,DSL,Yes,Bank transfer,43.86,2697.24,0
C00363,34,One year,No internet,No,Bank transfer,44.49,1412.84,0
C00364,45,Two year,Fiber optic,No,Electronic check,112.02,4304.51,1
C00365,13,Two year,Fiber optic,No,Mailed check,93.78,1209.7,1
C00366,39,Month-to-month,DSL,Yes,Credit card,100.62,3396.3,0
C00367,53,Two year,Fiber optic,Yes,Bank transfer,74.91,3641.85,1
C00368,1,Month-to-month,DSL,Yes,Mailed check,39.26,34.68,1
C00369,7,Two year,DSL,Yes,Mailed check,98.53,629.85,1
C00370,47,Two year,DSL,No,Bank transfer,109.22,4788.67,0
C00371,32,Month-to-month,Fiber optic,Yes,Mailed check,72.65,2020.24,1
C00372,47,One year,DSL,No,Bank transfer,66.04,2728.01,0
C00373,6,Two year,No internet,Yes,Bank transfer,47.14,260.4,1
C00374,8,One year,Fiber optic,Yes,Electronic check,53.1,414.59,0
C00375,33,Month-to-month,Fiber optic,No,Credit card,37.29,1103.43,0
C00376,28,Two year,Fiber optic,No,Mailed check,100.56,2676.76,1
C00377,39,One year,Fiber optic,Yes,Mailed check,103.81,3974.68,0
C00378,51,One year,Fiber optic,No,Bank transfer,98.36,4752.05,1
C00379,3,One year,Fiber optic,No,Bank transfer,42.87,120.49,0
C00380,37,One year,DSL,Yes,Electronic check,38.99,1438.62,0
C00381,42,Month-to-month,No internet,Yes,Credit card,42.1,1561.98,0
