opportunity_id,account_id,rep_id,region,stage,amount,created_date,close_date,forecast_category
OPP-00060,Acct-0067,R007,Central,Closed Won,55218.63,2026-01-31,2026-06-21,Commit
OPP-00061,Acct-0071,R004,West,Closed Won,5730.17,2025-05-11,2025-11-07,Commit
OPP-00062,Acct-0036,R008,Central,Prospecting,17081.31,2024-11-23,2025-04-30,Pipeline
OPP-00063,Acct-0085,R003,West,Qualification,74608.08,2024-03-06,2024-07-10,Best Case
OPP-00064,Acct-0098,R009,East,Proposal,12819.51,2025-12-13,2026-01-07,Commit
OPP-00065,Acct-0140,R008,Central,Prospecting,10631.45,2025-03-05,2025-08-09,Commit
OPP-00066,Acct-0087,R010,East,Closed Lost,26239.06,2025-05-12,2025-06-08,Omitted
OPP-00067,Acct-0137,R011,East,Closed Won,22540.41,2025-04-23,2025-06-14,Commit
OPP-00068,Acct-0119,R001,West,Closed Lost,40986.95,2024-03-26,2024-08-02,Omitted
OPP-00069,Acct-0072,R003,West,Prospecting,21231.12,2024-11-30,2025-03-16,Best Case
OPP-00070,Acct-0064,R007,Central,Qualification,13875.07,2026-03-10,2026-04-09,Pipeline
OPP-00071,Acct-0056,R004,West,Closed Won,34407.43,2025-04-29,2025-06-17,Commit
OPP-00072,Acct-0080,R008,Central,Closed Won,44142.03,2025-09-13,2025-11-01,Commit
OPP-00073,Acct-0051,R002,West,Negotiation,128158.49,2025-01-19,2025-05-20,Commit
OPP-00074,Acct-0154,R002,West,Negotiation,52791.15,2025-12-14,2026-03-21,Commit
OPP-00075,Acct-0095,R002,West,Closed Won,29916.28,2025-06-29,2025-11-05,Commit
OPP-00076,Acct-0093,R002,West,Negotiation,5273.11,2025-05-16,2025-07-02,Best Case
OPP-00077,Acct-0070,R011,East,Closed Lost,24999.49,2024-06-29,2024-11-29,Omitted
OPP-00078,Acct-0083,R010,East,Closed Won,30155.11,2025-03-22,2025-09-09,Commit
OPP-00079,Acct-0008,R004,West,Closed Won,12851.42,2025-09-16,2026-01-11,Commit
OPP-00080,Acct-0072,R008,Central,Closed Lost,14422.07,2026-03-27,2026-06-21,Omitted
OPP-00081,Acct-0122,R010,East,Closed Won,52281.7,2026-02-15,2026-05-07,Commit
OPP-00082,Acct-0178,R011,East,Closed Won,24799.5,2024-10-28,2025-01-12,Commit
OPP-00083,Acct-0141,R004,West,Proposal,34168.35,2025-06-27,2025-10-13,Best Case
OPP-00084,Acct-0050,R006,Central,Proposal,24270.15,2024-08-24,2024-10-13,Commit
OPP-00085,Acct-0124,R006,Central,Prospecting,33956.84,2024-07-08,2024-09-15,Pipeline
OPP-00086,Acct-0076,R005,Central,Closed Won,126502.22,2024-10-16,2024-11-30,Commit
OPP-00087,Acct-0014,R004,West,Proposal,9456.02,2024-05-09,2024-08-07,Pipeline
OPP-00088,Acct-0121,R009,East,Qualification,41561.21,2024-01-13,2024-06-27,Best Case
OPP-00089,Acct-0019,R008,Central,Proposal,99101.94,2024-03-07,2024-07-07,Best Case
OPP-00090,Acct-0107,R010,East,Closed Won,30926.47,2024-09-11,2024-10-31,Commit
OPP-00091,Acct-0077,R010,East,Negotiation,60785.85,2025-01-24,2025-06-08,Best Case
OPP-00092,Acct-0161,R010,East,Closed Lost,12174.49,2025-09-16,2025-10-31,Omitted
OPP-00093,Acct-0001,R004,West,Qualification,11490.94,2025-07-19,2025-08-27,Pipeline
OPP-00094,Acct-0073,R007,Central,Proposal,33003.39,2024-08-25,2024-11-26,Commit
OPP-00095,Acct-0170,R012,East,Closed Lost,11342.42,2024-09-27,2025-03-26,Omitted
OPP-00096,Acct-0016,R004,West,Proposal,32704.27,2024-09-29,2024-11-24,Pipeline
OPP-00097,Acct-0120,R003,West,Closed Won,62002.0,2024-10-22,2025-03-03,Commit
OPP-00098,Acct-0021,R012,East,Proposal,21876.44,2025-07-06,2025-11-29,Best Case
OPP-00099,Acct-0059,R010,East,Prospecting,23043.5,2024-09-13,2024-10-09,Pipeline
OPP-00100,Acct-0011,R011,East,Closed Won,284705.55,2026-02-22,2026-05-21,Commit
OPP-00101,Acct-0163,R003,West,Proposal,436812.29,2024-07-04,2024-12-20,Best Case
OPP-00102,Acct-0085,R008,Central,Closed Lost,24878.0,2024-11-24,2025-01-09,Omitted
OPP-00103,Acct-0065,R007,Central,Closed Won,78912.39,2025-04-10,2025-05-22,Commit
OPP-00104,Acct-0093,R006,Central,Prospecting,77651.0,2024-02-25,2024-05-03,Commit
OPP-00105,Acct-0034,R010,East,Closed Won,60279.74,2024-07-27,2024-10-23,Commit
OPP-00106,Acct-0041,R005,Central,Proposal,38116.31,2025-10-07,2026-03-31,Pipeline
OPP-00107,Acct-0166,R005,Central,Negotiation,29406.4,2024-04-26,2024-09-11,Pipeline
OPP-00108,Acct-0121,R003,West,Negotiation,53153.7,2024-10-06,2025-02-09,Best Case
OPP-00109,Acct-0035,R004,West,Proposal,13658.62,2025-09-05,2026-02-02,Commit
OPP-00110,Acct-0001,R002,West,Qualification,57833.9,2026-03-17,2026-08-13,Best Case
OPP-00111,Acct-0115,R005,Central,Closed Won,93002.29,2025-11-06,2026-03-31,Commit
OPP-00112,Acct-0049,R009,East,Negotiation,9036.15,2025-01-21,2025-06-06,Best Case
OPP-00113,Acct-0122,R012,East,Qualification,7670.17,2025-02-24,2025-03-27,Best Case
OPP-00114,Acct-0033,R012,East,Closed Lost,98453.21,2024-06-04,2024-10-28,Omitted
OPP-00115,Acct-0117,R009,East,Closed Lost,20164.23,2025-03-26,2025-05-10,Omitted
OPP-00116,Acct-0068,R001,West,Closed Won,17986.62,2024-06-07,2024-07-16,Commit
OPP-00117,Acct-0082,R006,Central,Closed Won,22649.52,2024-12-02,2025-05-07,Commit
OPP-00118,Acct-0026,R011,East,Closed Won,348401.45,2024-08-20,2024-10-02,Commit
OPP-00119,Acct-0084,R011,East,Closed Won,12837.17,2024-11-02,2024-11-29,Commit
OPP-00120,Acct-0175,R001,West,Qualification,21457.62,2025-06-27,2025-10-30,Commit
OPP-00121,Acct-0119,R003,West,Qualification,34319.29,2025-08-20,2025-10-15,Pipeline
OPP-00122,Acct-0077,R011,East,Qualification,37260.0,2025-03-28,2025-07-14,Commit
OPP-00123,Acct-0124,R011,East,Closed Lost,46211.18,2024-11-05,2025-01-14,Omitted
OPP-00124,Acct-0169,R002,West,Qualification,34932.44,2025-12-17,2026-03-22,Pipeline
OPP-00125,Acct-0128,R007,Central,Qualification,37196.65,2026-02-01,2026-03-05,Commit
OPP-00126,Acct-0065,R005,Central,Closed Won,3282.06,2024-08-12,2024-10-19,Commit
OPP-00127,Acct-0161,R011,East,Closed Won,98123.61,2024-05-20,2024-11-16,Commit
OPP-00128,Acct-0107,R011,East,Prospecting,21158.17,2024-10-29,2025-02-09,Commit
OPP-00129,Acct-0124,R003,West,Qualification,17752.52,2024-10-06,2024-12-07,Best Case
OPP-00130,Acct-0174,R005,Central,Closed Won,20303.89,2024-03-18,2024-05-13,Commit
OPP-00131,Acct-0102,R012,East,Closed Won,9635.13,2025-07-24,2025-11-14,Commit
OPP-00132,Acct-0098,R001,West,Qualification,10716.88,2026-02-05,2026-05-03,Commit
OPP-00133,Acct-0084,R011,East,Closed Lost,12219.07,2024-01-26,2024-07-22,Omitted
OPP-00134,Acct-0012,R010,East,Qualification,66556.84,2025-02-22,2025-04-12,Pipeline
OPP-00135,Acct-0117,R001,West,Proposal,26565.98,2025-07-04,2025-08-27,Best Case
OPP-00136,Acct-0026,R006,Central,Closed Won,16572.78,2024-06-07,2024-10-11,Commit
OPP-00137,Acct-0114,R008,Central,Negotiation,68952.28,2025-12-07,2026-03-31,Pipeline
OPP-00138,Acct-0102,R008,Central,Closed Lost,50480.36,2025-10-22,2026-02-10,Omitted
OPP-00139,Acct-0013,R005,Central,Qualification,21865.79,2025-10-19,2026-04-09,Pipeline
OPP-00140,Acct-0151,R006,Central,Qualification,7140.61,2024-03-11,2024-08-19,Pipeline
OPP-00141,Acct-0071,R004,West,Closed Won,4328.32,2026-03-18,2026-09-06,Commit
OPP-00142,Acct-0004,R003,West,Closed Lost,36613.35,2024-04-22,2024-05-18,Omitted
OPP-00143,Acct-0033,R006,Central,Closed Won,14789.04,2024-06-27,2024-09-22,Commit
OPP-00144,Acct-0129,R012,East,Proposal,23737.64,2025-08-30,2025-10-16,Best Case
OPP-00145,Acct-0123,R004,West,Closed Lost,87905.34,2025-04-14,2025-05-11,Omitted
OPP-00146,Acct-0017,R007,Central,Proposal,11327.17,2024-11-25,2025-05-19,Pipeline
OPP-00147,Acct-0136,R003,West,Qualification,42401.2,2024-11-28,2025-03-25,Commit
OPP-00148,Acct-0167,R005,Central,Proposal,32231.44,2025-12-19,2026-02-06,Commit
OPP-00149,Acct-0117,R009,East,Closed Won,12061.05,2024-08-21,2024-12-24,Commit
OPP-00150,Acct-0040,R007,Central,Proposal,9039.77,2025-11-12,2026-02-05,Best Case
OPP-00151,Acct-0144,R011,East,Closed Lost,190754.04,2025-07-23,2025-08-27,Omitted
OPP-00152,Acct-0014,R009,East,Proposal,10912.6,2025-11-12,2026-03-20,Commit
OPP-00153,Acct-0124,R005,Central,Negotiation,15635.85,2024-08-05,2024-10-03,Commit
OPP-00154,Acct-0058,R004,West,Closed Lost,15970.07,2024-04-27,2024-07-27,Omitted
OPP-00155,Acct-0178,R007,Central,Closed Lost,43948.55,2024-01-27,2024-07-20,Omitted
OPP-00156,Acct-0047,R005,Central,Prospecting,6164.76,2024-12-13,2025-04-01,Pipeline
OPP-00157,Acct-0136,R003,West,Negotiation,22504.87,2025-10-10,2025-11-06,Pipeline
OPP-00158,Acct-0153,R004,West,Proposal,24712.39,2024-11-15,2025-02-26,Commit
OPP-00159,Acct-0070,R002,West,Closed Lost,23098.19,2025-09-13,2026-01-24,Omitted
OPP-00160,Acct-0135,R004,West,Closed Won,9453.07,2024-10-17,2025-04-06,Commit
OPP-00161,Acct-0111,R011,East,Proposal,47762.72,2024-05-02,2024-05-23,Best Case
OPP-00162,Acct-0102,R003,West,Prospecting,28719.81,2025-07-26,2025-11-13,Pipeline
OPP-00163,Acct-0164,R012,East,Prospecting,100494.38,2025-08-10,2025-12-11,Commit
OPP-00164,Acct-0028,R007,Central,Qualification,22059.75,2025-01-05,2025-02-16,Best Case
OPP-00165,Acct-0086,R004,West,Proposal,22769.49,2024-11-13,2025-02-27,Pipeline
OPP-00166,Acct-0166,R003,West,Prospecting,41698.23,2024-07-17,2024-11-03,Best Case
OPP-00167,Acct-0020,R003,West,Qualification,13629.17,2025-09-08,2025-11-06,Commit
OPP-00168,Acct-0175,R003,West,Closed Lost,38891.49,2025-07-31,2026-01-15,Omitted
OPP-00169,Acct-0113,R010,East,Closed Won,81628.4,2025-10-04,2026-01-12,Commit
OPP-00170,Acct-0130,R002,West,Proposal,72838.4,2025-08-28,2025-10-01,Best Case
OPP-00171,Acct-0024,R002,West,Proposal,24866.52,2024-10-20,2024-11-28,Commit
OPP-00172,Acct-0147,R010,East,Negotiation,17588.65,2026-03-21,2026-04-20,Best Case
OPP-00173,Acct-0088,R011,East,Qualification,37240.12,2024-03-04,2024-07-17,Pipeline
OPP-00174,Acct-0135,R012,East,Prospecting,34023.52,2025-12-25,2026-05-06,Best Case
OPP-00175,Acct-0174,R009,East,Negotiation,2078.32,2025-01-31,2025-06-04,Best Case
OPP-00176,Acct-0174,R010,East,Prospecting,36451.14,2024-12-03,2025-01-16,Commit
OPP-00177,Acct-0021,R007,Central,Qualification,73558.26,2025-09-09,2025-11-06,Best Case
OPP-00178,Acct-0153,R010,East,Closed Won,68380.56,2025-11-02,2026-03-02,Commit
OPP-00179,Acct-0172,R012,East,Closed Lost,16786.52,2026-03-21,2026-07-03,Omitted
OPP-00180,Acct-0172,R012,East,Closed Won,86846.53,2025-06-23,2025-08-05,Commit
OPP-00181,Acct-0050,R007,Central,Negotiation,9170.43,2024-08-07,2024-11-22,Best Case
OPP-00182,Acct-0139,R004,West,Closed Lost,12625.42,2026-03-18,2026-05-02,Omitted
OPP-00183,Acct-0153,R012,East,Closed Lost,9171.92,2026-02-23,2026-08-20,Omitted
OPP-00184,Acct-0113,R007,Central,Qualification,5408.39,2025-10-01,2025-12-02,Commit
OPP-00185,Acct-0115,R001,West,Proposal,38450.57,2025-03-30,2025-09-22,Best Case
OPP-00186,Acct-0174,R004,West,Negotiation,5783.91,2025-04-25,2025-07-03,Best Case
OPP-00187,Acct-0108,R010,East,Closed Lost,24775.82,2025-01-26,2025-06-23,Omitted
OPP-00188,Acct-0124,R003,West,Closed Won,46159.19,2024-09-13,2024-10-16,Commit
OPP-00189,Acct-0116,R006,Central,Negotiation,57433.14,2026-02-20,2026-04-22,Best Case
OPP-00190,Acct-0007,R009,East,Qualification,4440.05,2024-08-15,2024-12-28,Best Case
OPP-00191,Acct-0008,R007,Central,Prospecting,27012.5,2024-03-24,2024-07-17,Pipeline
OPP-00192,Acct-0010,R006,Central,Closed Lost,120097.56,2026-03-21,2026-05-17,Omitted
OPP-00193,Acct-0158,R005,Central,Closed Lost,20914.23,2026-02-16,2026-07-06,Omitted
OPP-00194,Acct-0078,R001,West,Closed Lost,36007.31,2026-03-05,2026-06-06,Omitted
OPP-00195,Acct-0128,R002,West,Prospecting,14755.7,2025-04-13,2025-05-19,Pipeline
OPP-00196,Acct-0110,R010,East,Negotiation,43452.79,2026-01-05,2026-03-02,Best Case
OPP-00197,Acct-0093,R001,West,Negotiation,13540.47,2025-11-11,2025-12-22,Commit
OPP-00198,Acct-0100,R002,West,Closed Lost,36999.44,2025-06-03,2025-11-11,Omitted
OPP-00199,Acct-0018,R008,Central,Prospecting,20359.71,2026-02-04,2026-02-28,Best Case
OPP-00200,Acct-0012,R006,Central,Qualification,35264.03,2025-08-18,2025-12-01,Pipeline
OPP-00201,Acct-0123,R006,Central,Negotiation,48377.52,2026-03-08,2026-07-24,Commit
OPP-00202,Acct-0052,R011,East,Qualification,3694.31,2025-04-13,2025-05-12,Best Case
OPP-00203,Acct-0140,R001,West,Closed Won,64236.06,2024-11-13,2025-04-13,Commit
OPP-00204,Acct-0085,R008,Central,Qualification,43628.55,2024-12-31,2025-02-01,Commit
OPP-00205,Acct-0087,R005,Central,Prospecting,4256.09,2026-01-31,2026-06-12,Best Case
OPP-00206,Acct-0109,R003,West,Negotiation,25577.8,2025-06-15,2025-09-11,Pipeline
OPP-00207,Acct-0115,R002,West,Proposal,18867.13,2024-12-01,2025-03-06,Best Case
OPP-00208,Acct-0091,R010,East,Closed Won,10662.06,2025-04-02,2025-05-02,Commit
OPP-00209,Acct-0037,R010,East,Closed Lost,37551.51,2026-03-31,2026-05-30,Omitted
OPP-00210,Acct-0099,R010,East,Closed Won,24118.87,2024-08-29,2024-12-20,Commit
OPP-00211,Acct-0020,R010,East,Prospecting,10170.63,2025-01-14,2025-05-09,Best Case
OPP-00212,Acct-0007,R010,East,Prospecting,19937.88,2024-10-12,2025-01-03,Pipeline
OPP-00213,Acct-0115,R012,East,Qualification,36934.4,2024-04-30,2024-07-26,Best Case
OPP-00214,Acct-0114,R004,West,Closed Lost,26489.78,2024-03-16,2024-07-29,Omitted
OPP-00215,Acct-0077,R002,West,Closed Won,65655.33,2025-07-17,2025-12-22,Commit
OPP-00216,Acct-0061,R003,West,Closed Won,67716.44,2024-05-04,2024-07-14,Commit
OPP-00217,Acct-0023,R008,Central,Prospecting,30704.51,2025-07-18,2025-09-09,Commit
OPP-00218,Acct-0082,R002,West,Proposal,31948.13,2025-08-11,2025-09-18,Pipeline
OPP-00219,Acct-0151,R011,East,Prospecting,24117.66,2024-05-11,2024-10-19,Commit
OPP-00220,Acct-0040,R003,West,Closed Won,8500.44,2024-02-26,2024-04-17,Commit
OPP-00221,Acct-0021,R005,Central,Qualification,10488.2,2024-12-20,2025-05-21,Best Case
OPP-00222,Acct-0137,R005,Central,Qualification,71048.68,2025-10-02,2026-01-07,Commit
OPP-00223,Acct-0145,R002,West,Negotiation,5627.9,2026-01-07,2026-06-30,Best Case
OPP-00224,Acct-0107,R001,West,Closed Won,45072.85,2025-10-28,2026-01-09,Commit
OPP-00225,Acct-0063,R010,East,Closed Won,26685.49,2024-10-23,2025-01-28,Commit
OPP-00226,Acct-0124,R011,East,Proposal,21368.09,2024-06-10,2024-10-20,Best Case
OPP-00227,Acct-0089,R008,Central,Qualification,34185.76,2026-01-05,2026-04-16,Commit
OPP-00228,Acct-0032,R007,Central,Prospecting,17051.78,2024-11-22,2025-02-11,Best Case
OPP-00229,Acct-0079,R005,Central,Proposal,15219.62,2025-06-11,2025-10-28,Best Case
OPP-00230,Acct-0091,R008,Central,Prospecting,108011.41,2024-09-03,2024-11-17,Commit
OPP-00231,Acct-0138,R001,West,Prospecting,25159.74,2025-10-31,2026-03-20,Best Case
OPP-00232,Acct-0094,R001,West,Closed Lost,10858.66,2026-01-14,2026-05-07,Omitted
OPP-00233,Acct-0099,R001,West,Proposal,30783.72,2025-07-20,2025-10-21,Pipeline
OPP-00234,Acct-0033,R009,East,Proposal,41800.3,2025-09-30,2026-03-25,Pipeline
OPP-00235,Acct-0155,R002,West,Proposal,53579.13,2025-01-09,2025-03-06,Pipeline
OPP-00236,Acct-0156,R009,East,Proposal,144677.2,2025-06-15,2025-10-29,Pipeline
OPP-00237,Acct-0077,R009,East,Prospecting,71491.38,2025-02-06,2025-08-02,Commit
OPP-00238,Acct-0122,R010,East,Proposal,79526.36,2025-12-26,2026-06-08,Best Case
OPP-00239,Acct-0122,R001,West,Proposal,50810.22,2026-01-12,2026-02-07,Commit
OPP-00240,Acct-0014,R005,Central,Closed Lost,189358.38,2025-08-14,2025-10-31,Omitted
OPP-00241,Acct-0175,R010,East,Negotiation,30766.72,2026-03-04,2026-06-29,Pipeline
OPP-00242,Acct-0053,R004,West,Prospecting,9115.77,2024-06-04,2024-10-07,Commit
OPP-00243,Acct-0036,R007,Central,Negotiation,37262.41,2026-01-23,2026-02-27,Commit
OPP-00244,Acct-0045,R009,East,Qualification,12091.94,2025-06-22,2025-10-16,Best Case
OPP-00245,Acct-0124,R008,Central,Closed Lost,18453.06,2026-03-01,2026-05-27,Omitted
OPP-00246,Acct-0054,R004,West,Closed Lost,16541.08,2024-10-31,2025-02-01,Omitted
OPP-00247,Acct-0032,R012,East,Closed Won,17434.52,2026-03-25,2026-06-23,Commit
OPP-00248,Acct-0114,R010,East,Closed Won,52200.33,2024-10-21,2024-11-30,Commit
OPP-00249,Acct-0179,R011,East,Qualification,25835.87,2025-07-05,2025-10-02,Commit
OPP-00250,Acct-0136,R005,Central,Prospecting,41451.28,2024-09-05,2024-10-07,Commit
OPP-00251,Acct-0175,R004,West,Closed Won,8285.99,2026-01-04,2026-05-24,Commit
OPP-00252,Acct-0167,R003,West,Prospecting,80540.28,2025-02-20,2025-07-11,Best Case
OPP-00253,Acct-0147,R004,West,Closed Won,16988.79,2024-03-01,2024-04-12,Commit
OPP-00254,Acct-0127,R004,West,Negotiation,58303.3,2024-06-29,2024-07-28,Best Case
OPP-00255,Acct-0165,R003,West,Closed Lost,30258.85,2024-12-09,2025-03-11,Omitted
OPP-00256,Acct-0118,R009,East,Negotiation,27144.91,2024-04-25,2024-08-07,Pipeline
OPP-00257,Acct-0173,R011,East,Qualification,4274.68,2026-03-20,2026-06-23,Commit
OPP-00258,Acct-0025,R004,West,Qualification,76233.76,2024-03-29,2024-07-29,Commit
OPP-00259,Acct-0061,R003,West,Closed Lost,15639.72,2024-01-07,2024-04-02,Omitted
OPP-00260,Acct-0067,R008,Central,Closed Won,73441.65,2026-01-10,2026-06-25,Commit
OPP-00261,Acct-0104,R011,East,Proposal,7898.73,2025-04-21,2025-07-28,Pipeline
OPP-00262,Acct-0057,R011,East,Negotiation,19328.36,2024-10-29,2025-02-20,Commit
OPP-00263,Acct-0180,R004,West,Closed Lost,25290.7,2025-09-12,2026-01-05,Omitted
OPP-00264,Acct-0153,R009,East,Closed Lost,200131.7,2024-08-11,2024-11-02,Omitted
OPP-00265,Acct-0141,R002,West,Negotiation,28800.75,2025-07-31,2025-09-17,Pipeline
OPP-00266,Acct-0175,R009,East,Qualification,28789.03,2025-06-16,2025-10-27,Pipeline
OPP-00267,Acct-0034,R004,West,Closed Won,22683.69,2025-04-01,2025-05-05,Commit
OPP-00268,Acct-0006,R009,East,Proposal,33646.19,2025-11-19,2026-02-25,Commit
OPP-00269,Acct-0016,R007,Central,Qualification,8570.67,2025-12-18,2026-01-23,Commit
OPP-00270,Acct-0166,R002,West,Closed Lost,25324.14,2024-07-03,2024-08-26,Omitted
OPP-00271,Acct-0175,R007,Central,Proposal,80470.68,2025-01-21,2025-05-17,Pipeline
OPP-00272,Acct-0077,R011,East,Closed Lost,22265.41,2024-08-16,2024-09-05,Omitted
OPP-00273,Acct-0089,R008,Central,Closed Won,31151.21,2024-08-23,2024-11-14,Commit
OPP-00274,Acct-0018,R003,West,Qualification,15788.12,2024-01-17,2024-04-07,Pipeline
OPP-00275,Acct-0012,R002,West,Negotiation,20907.58,2024-02-19,2024-05-11,Commit
OPP-00276,Acct-0129,R007,Central,Proposal,34542.21,2026-03-05,2026-04-08,Pipeline
OPP-00277,Acct-0083,R005,Central,Qualification,122600.19,2025-08-14,2026-02-03,Commit
OPP-00278,Acct-0071,R004,West,Proposal,5318.76,2024-08-14,2024-12-17,Best Case
OPP-00279,Acct-0110,R001,West,Negotiation,45913.29,2024-06-28,2024-12-25,Commit
OPP-00280,Acct-0039,R009,East,Negotiation,92510.79,2024-11-22,2025-03-28,Best Case
OPP-00281,Acct-0037,R005,Central,Proposal,56732.84,2024-08-18,2024-11-22,Commit
OPP-00282,Acct-0100,R008,Central,Closed Lost,535038.87,2025-07-24,2025-12-26,Omitted
OPP-00283,Acct-0138,R004,West,Qualification,20240.26,2025-04-05,2025-07-28,Pipeline
OPP-00284,Acct-0019,R012,East,Closed Won,8850.93,2025-09-11,2026-03-04,Commit
